CLIENTE,LIBERADAS,REJEITADAS,CIDADE,MÊS,ANO
BUTANO,209,18,CANOAS,OUTUBRO,2022
LIQUIGAS,186,36,PASSO FUNDO,OUTUBRO,2022
PAMPA,158,49,CANOAS,OUTUBRO,2022
PAMPA,350,76,CANOAS,OUTUBRO,2022
PAMPA,79,23,CANOAS,OUTUBRO,2022
PAMPA,329,62,CANOAS,NOVEMBRO,2022
BUTANO,41,5,CANOAS,NOVEMBRO,2022
PAMPA,112,32,CANOAS,NOVEMBRO,2022
PAMPA,166,56,CANOAS,NOVEMBRO,2022
BUTANO,42,12,CANOAS,NOVEMBRO,2022
PAMPA,279,68,CANOAS,NOVEMBRO,2022
PAMPA,55,10,CANOAS,NOVEMBRO,2022
PAMPA,27,6,CANOAS,DEZEMBRO,2022
PAMPA,390,87,CANOAS,DEZEMBRO,2022
PAMPA,408,62,CANOAS,DEZEMBRO,2022
PAMPA,157,33,CANOAS,DEZEMBRO,2022
PAMPA,154,25,CANOAS,DEZEMBRO,2022
PAMPA,47,17,CANOAS,DEZEMBRO,2022
BUTANO,136,16,CANOAS,DEZEMBRO,2022
BUTANO,159,9,CANOAS,JANEIRO,2023
PAMPA,215,51,CANOAS,JANEIRO,2023
PAMPA,69,25,CANOAS,JANEIRO,2023
PAMPA,175,27,CANOAS,JANEIRO,2023
PAMPA,152,32,CANOAS,JANEIRO,2023
PAMPA,580,107,CANOAS,JANEIRO,2023
PAMPA,325,53,CANOAS,JANEIRO,2023
PAMPA,42,12,CANOAS,JANEIRO,2023
BUTANO,115,11,CANOAS,JANEIRO,2023
BUTANO,169,13,CANOAS,JANEIRO,2023
BUTANO,301,29,CANOAS,JANEIRO,2023
BUTANO,425,31,CANOAS,JANEIRO,2023
